dataset,file_count,random_state,accuracy,balanced_accuracy,kappa,log_loss,roc_auc
mdd2,160,2,0.625,0.625,0.25,0.7892783465593088,0.6875
mdd2,160,3,0.6666666666666666,0.6571428571428571,0.3142857142857143,0.48029960376152864,0.8071428571428572
mdd2,160,4,0.7391304347826086,0.6666666666666666,0.3783783783783784,0.4498546386223276,0.9126984126984128
mdd2,160,5,0.7692307692307693,0.6944444444444444,0.417910447761194,0.5686072405511825,0.7222222222222221
mdd2,160,6,0.5,0.5,0.0,1.1957947780781006,0.5833333333333334
mdd2,160,7,0.5833333333333334,0.5833333333333334,0.16666666666666663,0.7858149416147059,0.798611111111111
mdd2,160,8,0.8,0.7465277777777778,0.5318352059925093,0.5944185288179186,0.7222222222222223
mdd2,160,9,0.782608695652174,0.7222222222222222,0.49339207048458156,0.44656949789383477,0.9206349206349206
mdd2,160,10,0.5652173913043478,0.5923076923076923,0.17266187050359705,0.892412951683413,0.6230769230769231
mdd2,160,42,0.5416666666666666,0.5071428571428571,0.01492537313432829,0.9343830719005947,0.5357142857142857
mdd2,160,100,0.72,0.7307692307692308,0.45141065830721006,0.5925818937218856,0.8333333333333333
mdd2,160,123,0.7727272727272727,0.6875,0.4329896907216495,0.5225779778633117,0.8839285714285714
mdd2,160,2021,0.6818181818181818,0.5625,0.15384615384615397,0.9040305348312856,0.4821428571428571
mdd2,160,7,0.5833333333333334,0.5833333333333334,0.16666666666666663,0.7858149416147059,0.798611111111111
mdd3,160,1,0.625,0.375,-0.22727272727272707,0.523630993910467,0.6375000000000001
mdd3,160,2,0.7307692307692307,0.7202380952380952,0.4484848484848485,0.6843940342899818,0.7083333333333334
mdd3,160,3,0.7916666666666666,0.7916666666666667,0.5833333333333333,0.38967157674036956,0.9305555555555556
mdd3,160,4,0.4,0.6052631578947368,0.11347517730496459,1.1643289249543767,0.7894736842105263
mdd3,160,5,0.6521739130434783,0.5892857142857143,0.1785714285714286,0.6486677514454209,0.6785714285714286
mdd3,160,6,0.625,0.55,0.11475409836065587,0.9022569085925253,0.6857142857142857
mdd3,160,7,0.38461538461538464,0.33125,-0.35064935064935066,1.452052370007266,0.125
mdd3,160,8,0.8461538461538461,0.7833333333333333,0.5666666666666667,0.41154102944193044,0.8250000000000001
mdd3,160,9,0.6153846153846154,0.5892857142857143,0.1874999999999999,0.7504130904872925,0.6488095238095237
mdd3,160,10,0.7916666666666666,0.75,0.5161290322580645,0.4494728663278587,0.859375
mdd3,160,42,0.625,0.55,0.11475409836065587,0.7003203035734961,0.7785714285714286
mdd3,160,100,0.8333333333333334,0.7222222222222222,0.5,0.4268197735203412,0.75
mdd3,160,123,0.68,0.6794871794871795,0.35897435897435903,0.8966741048825859,0.5897435897435896
mdd3,160,2021,0.64,0.6201298701298701,0.24749163879598668,0.7631905044923752,0.6558441558441559
mdd3,160,7,0.38461538461538464,0.33125,-0.35064935064935066,1.452052370007266,0.125
mdd2,150,1,0.55,0.4791666666666667,-0.04651162790697683,0.9230582374983112,0.4583333333333333
mdd2,150,2,0.8571428571428571,0.8214285714285714,0.6666666666666667,0.33422337425194065,0.9285714285714286
mdd2,150,3,0.7,0.5952380952380952,0.21052631578947367,0.5321514849662637,0.7261904761904763
mdd2,150,4,0.6956521739130435,0.6856060606060606,0.3783783783783784,0.6450175603898944,0.803030303030303
mdd2,150,5,0.7272727272727273,0.725,0.44999999999999996,0.7271413741137059,0.6916666666666667
mdd2,150,6,0.36363636363636365,0.3833333333333333,-0.22222222222222232,1.4618894026708482,0.43333333333333335
mdd2,150,7,0.7619047619047619,0.5833333333333334,0.14634146341463405,0.3790120074802278,0.8518518518518519
mdd2,150,8,0.7391304347826086,0.8333333333333333,0.4651162790697674,0.4325278682347281,0.9333333333333333
mdd2,150,9,0.7619047619047619,0.7638888888888888,0.5205479452054795,0.5661758651719537,0.7685185185185186
mdd2,150,10,0.7391304347826086,0.7261904761904762,0.45238095238095244,0.618134827953301,0.7222222222222222
mdd2,150,42,0.7272727272727273,0.7083333333333333,0.37735849056603776,0.5413714352286091,0.7499999999999999
mdd2,150,100,0.7368421052631579,0.7277777777777779,0.46327683615819215,0.5884329607803503,0.7777777777777778
