dataset,file_count,random_state,accuracy,balanced_accuracy,kappa,log_loss,roc_auc,harmonic_acc,kappa_acc_ratio,inv_log_loss,roc_auc_norm,composite_score,overfitting_flag,imbalance_signal,overconfident_model,stability_index,error_confidence_ratio
mdd3,200,42,0.4137931034482758,0.4285714285714285,-0.1385681293302541,1.3503365234591982,0.4952380952380952,0.4210526265804863,-0.3348729711220173,0.7405561319134791,0.4231292468649174,0.3855151827653933,False,False,False,0.17833498295392056,2.675194946306813
mdd3,200,100,0.7,0.575,0.1818181818181817,0.6210849812694561,0.73,0.6313725440676663,0.2597402560296845,1.6100855986812157,0.6914285635265306,0.7258212797802157,False,False,False,0.4559090909090908,2.300314660245591
mdd3,200,123,0.6896551724137931,0.5909090909090909,0.2162162162162162,0.7788542161582342,0.7121212121212122,0.6364749032304654,0.3135135089675676,1.2839373099797973,0.6709956633271491,0.6793632274255528,False,False,False,0.4641687141687142,2.7054934989904083
mdd3,200,2021,0.5714285714285714,0.5208333333333334,0.0454545454545455,0.8203678319587823,0.7187500000000001,0.5449591230761236,0.07954545315340919,1.2189653821782094,0.6785714208163267,0.5984427494986547,False,False,False,0.3821022727272728,2.916863298809421
mdd3,200,7,0.8928571428571429,0.7291666666666667,0.5116279069767442,0.3133555069738386,0.8541666666666666,0.8027522886289034,0.5730232493960931,3.191263423913126,0.8333333238095239,1.1276063167763377,False,True,True,0.6828972868217054,2.1487233290510077
mdd2,180,1,0.7916666666666666,0.5833333333333334,0.2307692307692307,0.4439967132941585,0.8518518518518519,0.671717166831956,0.2914979720264223,2.25226887392472,0.8306878211942555,0.8823432799429438,False,True,True,0.5413105413105412,2.9969776124395815
mdd2,180,2,0.6,0.608974358974359,0.2138364779874213,0.7324335924457295,0.7435897435897436,0.6044538656259384,0.35639412403913345,1.365311472140024,0.7069596988801675,0.6805077220387401,False,False,False,0.4787131107885825,2.8564908991352
mdd2,180,3,0.5416666666666666,0.6071428571428571,0.1851851851851852,0.7928267599274171,0.6857142857142857,0.572538855119869,0.34188033556870495,1.2613095797604683,0.6408163192069971,0.6323398595356284,False,False,False,0.4354497354497355,2.522630519503538
mdd2,180,4,0.4583333333333333,0.675,0.1521739130434781,1.4083686081306763,0.65,0.5459558775356835,0.33201580303269834,0.7100413820121164,0.5999999931428572,0.5326656262202439,False,False,False,0.4010869565217391,4.023910193975927
mdd2,180,5,0.7241379310344828,0.672077922077922,0.3136094674556212,0.660008174060632,0.616883116883117,0.6971373536790707,0.43307973479142337,1.5151327273665056,0.5621521271561094,0.7357957179326421,False,False,False,0.4652462921693691,1.7227331551242084
mdd2,180,6,0.5714285714285714,0.5454545454545454,0.0666666666666666,0.7868270143015762,0.5909090909090909,0.5581395298864251,0.1166666646249999,1.2709273691859349,0.5324675263821893,0.5863533898751073,False,False,False,0.32878787878787874,1.923354876832956
mdd2,180,7,0.7407407407407407,0.5625,0.0869565217391303,0.4648129857973901,0.6944444444444444,0.6394316114345567,0.11739130276304331,2.151402841662146,0.6507936433560091,0.7917228183665783,False,True,True,0.39070048309178734,1.5212060855519867
mdd2,180,8,0.72,0.6818181818181819,0.3902439024390244,0.570276221218357,0.8831168831168831,0.7003891000620752,0.5420054125263476,1.7535361729237195,0.8664192850887887,0.8453054137767146,False,False,False,0.6366803927779537,4.879029475217864
mdd2,180,9,0.6428571428571429,0.6145833333333334,0.2391304347826086,0.7322207099458569,0.6822916666666667,0.6284023618664334,0.37198067054213624,1.3657084165467808,0.6369047546258505,0.6824668976721975,False,False,False,0.4607110507246377,2.304694621058867
mdd2,180,10,0.64,0.6006493506493507,0.2160278745644599,0.9628001190502776,0.4935064935064935,0.6197006126120645,0.33754354873285064,1.0386371686368767,0.4211502734799894,0.582592148838536,False,False,False,0.3547671840354767,1.9009130180299574
