condition,channel,mean,variance,skewness,kurtosis,peak_to_peak,fft_mean,fft_std,fft_max,wavelet_energy,wavelet_entropy,delta_power,theta_power,slow_alpha_power,alpha_power,beta_power,gamma_power
EO,T8,-2.006703964357168e-09,4.763366262139204e-11,-0.29728825789984453,1.8148994068515938,7.981038892267633e-05,0.0005082807923704396,0.001612482352772359,0.027779124100228363,2.860588616258003e-06,,2.7456960158878127e-12,2.728832207637702e-12,4.497637546740688e-12,3.963237515890123e-12,3.806040531654987e-13,8.576760042693189e-14
EO,CP3,-6.1996243242051935e-09,8.101643670323217e-11,-0.14112822239599418,0.4574265351782989,7.420651614996023e-05,0.0006423406214552502,0.002109292815760573,0.03369469553872276,4.8630610682332744e-06,,4.115685756694297e-12,5.255205254324193e-12,9.938820976597703e-12,6.790843503353403e-12,7.595105137243343e-13,9.316138115652966e-14
EO,CPz,7.968333375309412e-09,8.15528129952034e-11,-0.05176800951421474,0.4682007303320641,8.034290931966199e-05,0.0006823971407569496,0.0021043385439485627,0.0277829326102772,4.894956834867962e-06,,4.926613773948203e-12,4.178073570233188e-12,7.569226682101478e-12,5.81494016005431e-12,1.0009386444765849e-12,1.1605584137440487e-13
EO,CP4,9.735950629851121e-09,7.227527847754371e-11,-0.052804873644314666,0.8276439278281988,8.550806526975098e-05,0.0006142174134433396,0.001989952221375949,0.03361528293255545,4.340693115978975e-06,,4.486542353269552e-12,4.30506218486713e-12,8.579845232050037e-12,5.949519834882423e-12,6.340485285219631e-13,1.056587673023055e-13
EO,P7,-3.6208270199829626e-08,5.613923911917787e-11,-0.05396732696378055,0.7513297842093203,6.59537157488723e-05,0.0005289445916436235,0.0017575994689925534,0.029024627919116232,3.3702128180206253e-06,,2.943679628501405e-12,3.367418871208148e-12,6.813294854824384e-12,5.391104573793229e-12,4.131467055968182e-13,7.945686160262727e-14
EO,P3,-3.057969290351873e-08,1.016708591784807e-10,-0.17862802437097627,0.5588404489673486,8.430052664618896e-05,0.0006816410519424209,0.00237414999109606,0.04310030542242978,6.1026671991644414e-06,,4.761510995730148e-12,6.224877237769871e-12,1.3855122706429373e-11,1.0379415252812428e-11,7.645645936415733e-13,8.415171069398533e-14
EO,Pz,-1.0352293062277783e-08,1.1151644830976364e-10,-0.18039719541864502,0.6645194677501234,9.522949527838754e-05,0.0007199502154267333,0.0024846868344100097,0.04314210782984479,6.693422985238868e-06,,5.750075558167263e-12,5.23166598235816e-12,1.35270369569111e-11,1.2001688872985418e-11,8.830244157280216e-13,9.42267697277461e-14
EO,P4,1.847366863231807e-09,9.247183942915261e-11,-0.1431509793408294,0.9820225693403084,9.566983281625865e-05,0.0006487736856934302,0.0022645607790148527,0.04281682716818999,5.5508554796624505e-06,,4.609043606459103e-12,5.4878655408874205e-12,1.3047536766549027e-11,9.697500776464755e-12,6.510967420468386e-13,8.681096350429175e-14
EO,P8,-2.091868114286901e-08,7.030783433763283e-11,-0.1411332730622384,1.2544971420542552,8.289691350492896e-05,0.0005705295934128943,0.0019732270708711385,0.03680550326410295,4.221033971126832e-06,,3.5531163227436145e-12,3.984866481222958e-12,9.652315257901949e-12,7.492699586477662e-12,4.4226039533810256e-13,9.13781852358323e-14
EO,O1,-4.563789831736268e-08,1.0050490840465317e-10,-0.0893536376676867,0.6754418947445164,9.13813773135943e-05,0.0006523110853405268,0.0023676600862893786,0.042889317459671526,6.0335085727221355e-06,,4.9152445290409394e-12,4.312751594407415e-12,1.2322090544052529e-11,1.3307640518707564e-11,5.714773606083011e-13,8.914808371509293e-14
